turn_idx_global,file,prune_strategy,n_root_moves,pruned_root,tree_roots,original_move,original_coord,new_move,new_coord,move_changed,new_move_was_in_remaining_roots
128,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,12,"3,6","3,6|0,3|0,6|0,8|1,7|2,8|3,3|0,7|1,0|2,0|3,0|0,0",m 3 6,"3,6",m 3 6,"3,6",0,0
129,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,2,"3,3","3,3|0,6",m 3 3,"3,3",m 3 3,"3,3",0,0
131,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,14,"3,1","3,1|3,0|0,0|3,8|2,8|1,8|0,2|2,0|2,1|1,2|2,2|0,1|1,0|1,1",m 3 1,"3,1",m 3 1,"3,1",0,0
132,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"1,8","1,8|0,0|3,8|2,0|2,8|0,2",m 1 8,"1,8",m 1 8,"1,8",0,0
133,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"3,8","3,8|2,2|1,2|0,2|0,0|1,0|2,0|0,1|2,1|1,1",m 3 8,"3,8",m 3 8,"3,8",0,0
135,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,4,"1,1","0,1|0,2|1,1|1,2",m 1 1,"1,1",m 1 1,"1,1",0,0
136,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,2,"0,2","0,2|1,2",m 0 2,"0,2",m 0 2,"0,2",0,0
137,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"1,4","1,4|3,4|0,3|1,3|0,5|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
138,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"1,3","0,2|0,5|1,3",m 1 3,"1,3",m 1 3,"1,3",0,0
139,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,4,"0,5","0,1|0,5|1,2|1,5",m 0 5,"0,5",m 0 5,"0,5",0,0
140,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","0,4|1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
141,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"1,5","1,3|1,5|0,4|3,4|0,3|0,5",m 1 5,"1,5",m 0 3,"0,3",1,1
142,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"2,5","0,4|2,5|1,3|0,3|1,6|0,5|3,5|3,6",m 2 5,"2,5",m 2 5,"2,5",0,0
143,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"1,3","3,5|0,5|3,6|0,3|1,3|2,6|0,4|2,3|1,7",m 1 3,"1,3",m 1 3,"1,3",0,0
145,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","1,4|2,4|0,4",m 1 4,"1,4",m 1 4,"1,4",0,0
146,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"0,3","2,4|0,4|1,3|1,5|0,5|2,5|2,3|0,3",m 0 3,"0,3",m 0 3,"0,3",0,0
147,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"2,5","2,5|1,3|0,4|1,2|3,6|0,1|2,2|2,4|0,2",m 2 5,"2,5",m 2 5,"2,5",0,0
148,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"3,5","3,5|3,2|0,4|2,4|1,6|1,5|2,6|0,2|1,3|1,2|3,7",m 3 5,"3,5",m 3 5,"3,5",0,0
149,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"1,5","0,4|0,5|1,5|3,7|0,2|2,6|1,3|1,6|1,2",m 1 5,"1,5",m 1 5,"1,5",0,0
150,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,4,"1,5","0,4|2,4|1,5|1,3",m 1 5,"1,5",m 1 5,"1,5",0,0
151,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"0,4","0,4|3,4|2,5|1,6|3,5|2,6|0,5|2,3|3,7",m 0 4,"0,4",m 0 4,"0,4",0,0
152,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"2,3","2,5|3,4|3,5|2,6|0,3|2,3|1,3",m 2 3,"2,3",m 2 3,"2,3",0,0
153,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,17,"2,6","2,6|3,7|3,2|0,0|0,1|0,2|0,3|0,6|0,7|0,8|1,6|1,3|2,5|2,2|3,3|1,2|3,5",m 2 6,"2,6",m 2 6,"2,6",0,0
154,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"1,5","0,5|1,5|1,3",m 1 5,"1,5",m 1 5,"1,5",0,0
155,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,5,"1,2","1,6|2,5|1,2|1,1|2,4",m 1 2,"1,2",m 1 2,"1,2",0,0
156,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"2,3","2,3|3,3|2,5|2,4|2,2|2,1|2,6|0,4",m 2 3,"2,3",m 2 5,"2,5",1,1
157,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"3,4","3,4|0,1|2,5|0,2|0,5|2,4|3,3|1,6|1,1",m 3 4,"3,4",m 3 4,"3,4",0,0
158,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","0,4|1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
159,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"2,4","1,5|0,4|2,4|3,4|0,5|2,5|1,2",m 2 4,"2,4",m 2 4,"2,4",0,0
160,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"0,4","0,4|1,5|2,5|2,3|1,2|0,5|0,3|3,3|3,5|1,4",m 0 4,"0,4",m 0 4,"0,4",0,0
161,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"0,4","1,5|0,3|3,3|0,4|2,5|0,5|3,5|1,2|2,2",m 0 4,"0,4",m 0 4,"0,4",0,0
162,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"1,2","1,5|3,3|0,5|3,5|0,3|1,2|0,1|2,5",m 1 2,"1,2",m 1 2,"1,2",0,0
163,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"0,3","0,3|3,3|0,2|3,5|0,5|1,5|2,2|1,2|0,0|2,5",m 0 3,"0,3",m 0 3,"0,3",0,0
164,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"2,5","3,5|2,5|3,6|0,2|0,5|1,5",m 2 5,"2,5",m 2 5,"2,5",0,0
165,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"1,5","0,2|0,5|2,6|3,5|1,1|1,5|0,1|0,0|1,0|3,7|2,0",m 1 5,"1,5",m 1 5,"1,5",0,0
166,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"3,5","3,5|2,6|1,6|0,2|0,6|0,7|1,0|2,2|3,7|2,0|0,1",m 3 5,"3,5",m 3 5,"3,5",0,0
167,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"3,1","2,6|3,1|3,0",m 3 1,"3,1",m 3 1,"3,1",0,0
168,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"2,0","2,0|3,7|3,8|3,0|0,2|2,6|1,6|1,1",m 2 0,"2,0",m 2 0,"2,0",0,0
169,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"2,0","0,6|2,7|3,7|3,0|1,6|0,2|2,8|3,8|0,7|1,1|2,0",m 2 0,"2,0",m 2 0,"2,0",0,0
170,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,12,"0,6","3,0|0,0|1,0|0,2|0,6|1,6|2,7|3,7|0,8|3,8|2,8|1,1",m 0 6,"0,6",m 0 6,"0,6",0,0
171,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"0,0","0,0|0,7|0,8|1,0|3,0|1,6|2,7",m 0 0,"0,0",m 0 0,"0,0",0,0
172,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,14,"0,0","0,1|0,7|1,0|3,5|3,7|3,0|0,2|1,7|2,7|1,3|1,6|3,8|2,8|0,0",m 0 0,"0,0",m 0 0,"0,0",0,0
173,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"0,0","0,7|0,8|3,0|1,0|0,1|3,7|0,2|1,7|1,8|0,0",m 0 0,"0,0",m 0 0,"0,0",0,0
174,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"1,0","2,7|1,0|3,0|0,2|0,1|0,7|0,8",m 1 0,"1,0",m 1 0,"1,0",0,0
175,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"0,2","0,1|0,2|0,7|0,8|1,7|3,7|2,7|3,8",m 0 2,"0,2",m 0 2,"0,2",0,0
176,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"0,7","0,7|1,7|3,7|0,8|3,8|2,7|1,8|2,8",m 0 7,"0,7",m 0 7,"0,7",0,0
177,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"3,8","0,8|1,7|1,8|2,8|3,7|3,8",m 3 8,"3,8",m 3 8,"3,8",0,0
179,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,2,"3,7","1,8|3,7",m 3 7,"3,7",m 3 7,"3,7",0,0
180,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"2,4","0,4|2,4|3,4|1,3|1,5|0,3",m 2 4,"2,4",m 2 4,"2,4",0,0
181,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"0,5","2,5|3,5|3,4|0,4|3,3|1,5|0,5|3,2",m 0 5,"0,5",m 0 5,"0,5",0,0
182,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,11,"1,5","1,5|1,6|0,3|3,3|2,5|3,4|0,4|0,6|3,5|0,2|1,2",m 1 5,"1,5",m 1 5,"1,5",0,0
183,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,5,"1,2","3,5|0,6|0,3|3,3|1,2",m 1 2,"1,2",m 1 2,"1,2",0,0
184,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"0,3","3,5|0,3|0,6",m 0 3,"0,3",m 0 3,"0,3",0,0
185,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"3,1","3,3|3,1|3,5",m 3 1,"3,1",m 3 1,"3,1",0,0
186,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"2,1","2,1|3,0|0,6|3,5|3,2|3,4|1,1|0,2",m 2 1,"2,1",m 2 1,"2,1",0,0
187,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"3,2","1,1|0,0|3,2",m 3 2,"3,2",m 3 2,"3,2",0,0
189,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,4,"3,6","0,1|3,6|1,1|2,6",m 3 6,"3,6",m 3 6,"3,6",0,0
191,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,13,"0,6","3,7|2,6|2,0|0,2|0,6|1,6|3,8|0,0|0,7|0,8|1,7|1,8|2,8",m 0 6,"0,6",m 2 6,"2,6",1,1
192,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,2,"0,0","2,8|0,0",m 0 0,"0,0",m 0 0,"0,0",0,0
193,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"2,4","2,4|0,4|1,3|1,5|3,4|0,3|2,3|2,5",m 2 4,"2,4",m 2 4,"2,4",0,0
194,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"2,3","3,4|2,3|3,2|3,5|1,5|2,5|3,3",m 2 3,"2,3",m 2 3,"2,3",0,0
195,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"1,5","2,2|3,3|1,3|3,4|1,5|3,6|1,6|3,5",m 1 5,"1,5",m 1 5,"1,5",0,0
196,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"3,6","0,6|3,6|3,5|3,4|2,2|3,3",m 3 6,"3,6",m 3 6,"3,6",0,0
197,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,5,"0,4","2,2|0,6|3,3|3,5|0,4",m 0 4,"0,4",m 0 4,"0,4",0,0
198,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,10,"2,7","2,7|2,6|1,6|2,2|2,1|3,5|1,3|0,6|3,8|0,2",m 2 7,"2,7",m 2 7,"2,7",0,0
199,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,14,"2,2","2,6|1,8|1,6|3,5|3,8|2,8|0,7|0,0|1,0|0,2|2,2|2,1|2,0|3,4",m 2 2,"2,2",m 2 2,"2,2",0,0
200,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"1,3","3,4|2,6|1,6|3,5|3,8|2,8|1,8|1,3|3,1",m 1 3,"1,3",m 1 3,"1,3",0,0
201,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,2,"3,1","3,1|3,3",m 3 1,"3,1",m 3 1,"3,1",0,0
202,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","0,4|1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
203,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"1,5","1,3|1,5|0,3|0,4|3,4|0,5|3,5|2,5|2,3|1,0",m 1 5,"1,5",m 1 5,"1,5",0,0
204,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"1,6","1,6|0,4|2,5|0,2|3,4|0,5|0,3|2,3|3,5|1,7",m 1 6,"1,6",m 1 6,"1,6",0,0
205,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"3,5","3,4|2,5|3,5|1,8|0,4|2,7|0,5",m 3 5,"3,5",m 3 5,"3,5",0,0
206,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,15,"2,6","2,6|3,4|1,8|0,5|2,3|0,4|3,6|0,6|1,0|2,0|2,1|2,2|2,7|2,8|3,7",m 2 6,"2,6",m 2 6,"2,6",0,0
207,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"2,2","0,6|3,6|2,2|3,4|0,4|3,7",m 2 2,"2,2",m 2 2,"2,2",0,0
208,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,4","3,6|0,5|2,1|3,4|0,2|0,1|3,3|2,7|1,8|0,6|0,4",m 0 4,"0,4",m 0 4,"0,4",0,0
209,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"3,4","3,4|0,5|0,6|3,6|0,1|2,1|0,3|1,8|2,7",m 3 4,"3,4",m 3 4,"3,4",0,0
210,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,2,"0,7","0,7|3,6",m 0 7,"0,7",m 0 7,"0,7",0,0
212,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","1,4|2,4|0,4",m 1 4,"1,4",m 1 4,"1,4",0,0
213,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"1,5","0,4|3,4|1,3|1,5|0,5|0,3|3,3",m 1 5,"1,5",m 1 5,"1,5",0,0
214,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"1,6","1,6|3,5|0,4|3,4|2,5|0,5|1,2|2,3|1,7|0,3|3,6",m 1 6,"1,6",m 1 6,"1,6",0,0
215,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"0,2","0,2|3,5|2,5|0,5|2,6|0,4|3,3|1,8|2,3",m 0 2,"0,2",m 0 2,"0,2",0,0
216,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"2,5","1,2|2,5|0,3|3,5|0,4|1,8|0,5",m 2 5,"2,5",m 2 5,"2,5",0,0
217,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,12,"0,5","3,5|0,5|3,6|0,3|2,3|3,4|1,8|2,7|3,7|0,4|0,7|3,2",m 0 5,"0,5",m 0 5,"0,5",0,0
218,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","1,4|2,4|0,4",m 1 4,"1,4",m 1 4,"1,4",0,0
219,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"1,5","2,4|1,3|1,5|2,3|2,5|0,3|3,6",m 1 5,"1,5",m 2 4,"2,4",1,1
220,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"2,2","2,4|2,2|1,6|0,5|2,5|2,3|3,4|1,7",m 2 2,"2,2",m 2 2,"2,2",0,0
221,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,4,"2,3","1,6|2,3|0,5|3,3",m 2 3,"2,3",m 2 3,"2,3",0,0
222,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,5,"0,5","2,1|2,4|1,6|2,5|0,5",m 0 5,"0,5",m 0 5,"0,5",0,0
223,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"2,4","2,4|3,3|0,4|1,4|3,5|0,5|0,3",m 2 4,"2,4",m 2 4,"2,4",0,0
224,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"3,3","3,3|3,6|1,4|2,3|1,5|2,5|0,4|1,3",m 3 3,"3,3",m 3 3,"3,3",0,0
225,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,12,"2,5","3,6|2,5|0,6|2,3|3,2|1,4|0,5|3,7|1,6|2,6|1,3|0,4",m 2 5,"2,5",m 2 5,"2,5",0,0
226,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,4,"3,7","3,7|2,6|1,6|3,8",m 3 7,"3,7",m 3 7,"3,7",0,0
227,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"1,6","1,7|1,6|2,3|3,8|2,7|0,6",m 1 6,"1,6",m 1 6,"1,6",0,0
228,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,11,"2,3","2,3|1,3|1,4|0,4|0,5|3,8|3,2|0,6|0,7|1,7|1,2",m 2 3,"2,3",m 2 3,"2,3",0,0
229,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,10,"1,3","1,3|0,3|3,8|2,8|1,7|0,4|0,5|1,4|3,2|0,6",m 1 3,"1,3",m 1 3,"1,3",0,0
230,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"1,3","2,4|0,4|0,3|3,4|0,5|0,0|2,5|1,3|1,5",m 1 3,"1,3",m 1 3,"1,3",0,0
231,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"2,4","2,4|3,4|1,2|2,3|2,2|0,3|1,5",m 2 4,"2,4",m 2 4,"2,4",0,0
232,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"0,3","3,4|3,5|0,3|2,3|2,5|1,2|0,1",m 0 3,"0,3",m 0 3,"0,3",0,0
233,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,13,"3,5","3,4|3,3|3,5|0,1|2,5|1,2|0,5|3,1|1,5|0,6|2,2|3,2|1,1",m 3 5,"3,5",m 3 5,"3,5",0,0
234,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,4,"3,2","3,2|0,6|2,2|3,4",m 3 2,"3,2",m 3 2,"3,2",0,0
235,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"0,7","0,7|3,3|3,4",m 0 7,"0,7",m 0 7,"0,7",0,0
236,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,23,"1,5","3,6|3,3|3,4|0,0|0,1|0,8|1,0|1,1|1,2|1,5|1,7|1,8|2,0|2,1|2,2|2,5|2,6|2,7|2,8|3,0|3,1|3,7|3,8",m 1 5,"1,5",m 1 5,"1,5",0,0
237,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,4,"3,6","3,6|3,3|2,5|0,8",m 3 6,"3,6",m 3 6,"3,6",0,0
238,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"3,8","3,8|3,7|2,5",m 3 8,"3,8",m 3 8,"3,8",0,0
239,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,4,"3,7","3,3|2,8|3,4|3,7",m 3 7,"3,7",m 3 7,"3,7",0,0
240,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"2,4","0,4|2,4|1,3|1,5|0,0|0,2|3,4",m 2 4,"2,4",m 2 4,"2,4",0,0
241,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"2,5","1,3|1,6|2,5|3,4|0,4|3,5|2,3",m 2 5,"2,5",m 2 5,"2,5",0,0
242,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,12,"1,3","1,3|1,7|2,6|2,3|3,4|0,4|3,6|3,5|0,3|0,5|3,3|2,7",m 1 3,"1,3",m 1 3,"1,3",0,0
243,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","0,4|1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
244,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"1,5","0,4|3,4|1,3|1,5|0,3|0,5|3,5|2,5|3,6",m 1 5,"1,5",m 1 5,"1,5",0,0
245,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,5,"3,5","3,5|2,5|1,6|2,3|1,2",m 3 5,"3,5",m 3 5,"3,5",0,0
246,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"1,6","1,6|2,3|2,6|3,4|0,5|1,2|3,6",m 1 6,"1,6",m 1 6,"1,6",0,0
247,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,12,"2,6","1,8|3,4|3,6|0,5|0,4|2,3|2,6|2,7|1,2|0,6|3,7|2,8",m 2 6,"2,6",m 2 6,"2,6",0,0
248,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"2,2","3,6|0,6|0,4|2,2|0,8|0,5|3,4|1,8|2,7|3,0",m 2 2,"2,2",m 2 2,"2,2",0,0
249,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,4","0,4|0,6|3,6|3,7|1,8|2,7|3,4|0,5|2,1|1,1|3,3",m 0 4,"0,4",m 0 4,"0,4",0,0
